Vrsta usluge;NDC;Blok;Operator;Dužina broja (N(S)N)
Fiksni;30;3049;HT d.d. Mostar;8
Fiksni;30;3063;HT d.d. Mostar;8
Fiksni;30;3064;HT d.d. Mostar;8
Fiksni;30;3065;HT d.d. Mostar;8
Fiksni;30;3070;HT d.d. Mostar;8
Fiksni;30;3071;HT d.d. Mostar;8
Fiksni;30;3073;HT d.d. Mostar;8
Fiksni;30;3079;HT d.d. Mostar;8
Fiksni;30;3080;HT d.d. Mostar;8
Fiksni;30;3087;HT d.d. Mostar;8
Fiksni;31;3171;HT d.d. Mostar;8
Fiksni;31;3172;HT d.d. Mostar;8
Fiksni;31;3173;HT d.d. Mostar;8
Fiksni;31;3174;HT d.d. Mostar;8
Fiksni;31;3175;HT d.d. Mostar;8
Fiksni;31;3176;HT d.d. Mostar;8
Fiksni;31;3177;HT d.d. Mostar;8
Fiksni;31;3179;HT d.d. Mostar;8
Fiksni;32;3280;HT d.d. Mostar;8
Fiksni;32;3288;HT d.d. Mostar;8
Fiksni;32;3289;HT d.d. Mostar;8
Fiksni;33;3390;HT d.o.o. Mostar;8
Fiksni;34;3420;HT d.d. Mostar;8
Fiksni;34;3421;HT d.d. Mostar;8
Fiksni;34;3424;HT d.d. Mostar;8
Fiksni;34;3426;HT d.d. Mostar;8
Fiksni;34;3427;HT d.d. Mostar;8
Fiksni;34;3431;HT d.d. Mostar;8
Fiksni;34;3435;HT d.d. Mostar;8
Fiksni;34;3436;HT d.d. Mostar;8
Fiksni;34;3450;HT d.d. Mostar;8
Fiksni;34;3481;HT d.d. Mostar;8
Fiksni;34;3482;HT d.d. Mostar;8
Fiksni;34;3485;HT d.d. Mostar;8
Fiksni;35;3590;HT d.d. Mostar;8
Fiksni;36;3631;HT d.d. Mostar;8
Fiksni;36;3632;HT d.d. Mostar;8
Fiksni;36;3633;HT d.d. Mostar;8
Fiksni;36;3634;HT d.d. Mostar;8
Fiksni;36;3635;HT d.d. Mostar;8
Fiksni;36;3636;HT d.d. Mostar;8
Fiksni;36;3637;HT d.d. Mostar;8
Fiksni;36;3638;HT d.d. Mostar;8
Fiksni;36;3639;HT d.d. Mostar;8
Fiksni;36;3644;HT d.d. Mostar;8
Fiksni;36;3648;HT d.d. Mostar;8
Fiksni;36;3664;HT d.d. Mostar;8
Fiksni;36;3665;HT d.d. Mostar;8
Fiksni;36;3677;HT d.d. Mostar;8
Fiksni;36;3678;HT d.d. Mostar;8
Fiksni;36;3680;HT d.d. Mostar;8
Fiksni;36;3681;HT d.d. Mostar;8
Fiksni;36;3682;HT d.d. Mostar;8
Fiksni;36;3685;HT d.d. Mostar;8
Fiksni;36;3686;HT d.d. Mostar;8
Fiksni;36;3688;HT d.d. Mostar;8
Fiksni;36;3689;HT d.d. Mostar;8
Fiksni;37;3790;HT d.d. Mostar;8
Fiksni;39;3920;HT d.d. Mostar;8
Fiksni;39;3938;HT d.d. Mostar;8
Fiksni;39;3966;HT d.d. Mostar;8
Fiksni;39;3967;HT d.d. Mostar;8
Fiksni;39;3968;HT d.d. Mostar;8
Fiksni;39;3969;HT d.d. Mostar;8
Fiksni;39;3970;HT d.d. Mostar;8
Fiksni;39;3971;HT d.d. Mostar;8
Fiksni;39;3983;HT d.d. Mostar;8
Fiksni;39;3984;HT d.d. Mostar;8
Fiksni;39;3985;HT d.d. Mostar;8
Fiksni;49;4974;HT d.d. Mostar;8
Fiksni;49;4975;HT d.d. Mostar;8
Fiksni;49;4976;HT d.d. Mostar;8
Fiksni;51;5190;HT d.d. Mostar;8
Mobilni;63;630;HT d.d. Mostar;8
Mobilni;63;631;HT d.d. Mostar;8
Mobilni;63;632;HT d.d. Mostar;8
Mobilni;63;633;HT d.d. Mostar;8
Mobilni;63;634;HT d.d. Mostar;8
Mobilni;63;635;HT d.d. Mostar;8
Mobilni;63;636;HT d.d. Mostar;8
Mobilni;63;637;HT d.d. Mostar;8
Mobilni;63;638;HT d.d. Mostar;8
Mobilni;63;639;HT d.d. Mostar;8
Mobilni;64;6440;HT d.d. Mostar;9
Mobilni;64;6441;HT d.d. Mostar;9
Mobilni;64;6442;HT d.d. Mostar;9
Mobilni;64;6443;HT d.d. Mostar;9
Mobilni;64;6444;HT d.d. Mostar;9
Mobilni;64;6445;HT d.d. Mostar;9
Mobilni;64;6446;HT d.d. Mostar;9
